2026-07-12 00:01:23 [INFO] api.auto_dub_api: Task 847b3fa894544602bfb3bd0c69f4d1b6: streaming voice done — synthesized=20 failed=0 ms=5680.6
idx=11 text_len=93 tts_file=slot_11_00732bb2_fit.wav tts_dur_ms=6248 place_start=97280 place_end=102560 slot_ms=5280 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=12 text_len=186 tts_file=slot_12_e0f1fe41_fit.wav tts_dur_ms=12484 place_start=102560 place_end=112640 slot_ms=10080 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=13 text_len=90 tts_file=slot_13_f468c616_fit.wav tts_dur_ms=5739 place_start=112640 place_end=116960 slot_ms=4320 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=14 text_len=190 tts_file=slot_14_82911077_fit.wav tts_dur_ms=12084 place_start=116960 place_end=127920 slot_ms=10960 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=15 text_len=203 tts_file=slot_15_c00fcb1a_fit.wav tts_dur_ms=14691 place_start=127920 place_end=138800 slot_ms=10880 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=16 text_len=193 tts_file=slot_16_c3e4b7b8_fit.wav tts_dur_ms=12814 place_start=138800 place_end=149200 slot_ms=10400 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=0 text_len=69 tts_file=slot_0_4912e1e7_fit.wav tts_dur_ms=5183 place_start=0 place_end=4960 slot_ms=4960 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=6 text_len=109 tts_file=slot_6_1865737a_fit.wav tts_dur_ms=7132 place_start=56720 place_end=62320 slot_ms=5600 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=7 text_len=182 tts_file=slot_7_6ee5d15d_fit.wav tts_dur_ms=11731 place_start=62320 place_end=73120 slot_ms=10800 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=9 text_len=123 tts_file=slot_9_360f6989_fit.wav tts_dur_ms=7933 place_start=76880 place_end=84720 slot_ms=7840 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=10 text_len=225 tts_file=slot_10_87df747a_fit.wav tts_dur_ms=15168 place_start=84720 place_end=97280 slot_ms=12560 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=11 text_len=82 tts_file=slot_11_18a907c4_fit.wav tts_dur_ms=5850 place_start=97280 place_end=102560 slot_ms=5280 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=12 text_len=225 tts_file=slot_12_3c4a6bd3_fit.wav tts_dur_ms=14860 place_start=102560 place_end=112640 slot_ms=10080 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=13 text_len=92 tts_file=slot_13_a478eb3f_fit.wav tts_dur_ms=5803 place_start=112640 place_end=116960 slot_ms=4320 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=14 text_len=194 tts_file=slot_14_04d32df0_fit.wav tts_dur_ms=12000 place_start=116960 place_end=127920 slot_ms=10960 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=15 text_len=235 tts_file=slot_15_21986b01_fit.wav tts_dur_ms=16505 place_start=127920 place_end=138800 slot_ms=10880 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=16 text_len=225 tts_file=slot_16_ec6a377c_fit.wav tts_dur_ms=15153 place_start=138800 place_end=149200 slot_ms=10400 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=0 text_len=69 tts_file=slot_0_4912e1e7_fit.wav tts_dur_ms=5183 place_start=0 place_end=4960 slot_ms=4960 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=6 text_len=109 tts_file=slot_6_1865737a_fit.wav tts_dur_ms=7132 place_start=56720 place_end=62320 slot_ms=5600 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=7 text_len=182 tts_file=slot_7_6ee5d15d_fit.wav tts_dur_ms=11731 place_start=62320 place_end=73120 slot_ms=10800 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
idx=9 text_len=123 tts_file=slot_9_360f6989_fit.wav tts_dur_ms=7933 place_start=76880 place_end=84720 slot_ms=7840 premux=fail allow_atempo=no pre_fitted=yes placed=yes block_merged=no merge_adjusted_start=-
